day;mean;standard_deviation;dematerialized_deaths;total_deaths
61;3.2755796868746487;1.5521327321446194;1.244090569793481;1.8661358546902214
62;3.0833826080518976;1.62108567122649;1.8661358546902214;2.488181139586962
63;3.1568417844155916;1.6925562975682396;4.976362279173924;4.976362279173924
64;2.5725408656351787;1.5663372177018675;2.488181139586962;3.1102264244837023
65;3.0194217559674748;1.7416164879693494;4.976362279173924;5.598407564070665
66;2.626058252889761;1.2692660406104903;3.7322717093804427;4.354316994277183
67;3.0992447190312733;1.30049294345534;3.7322717093804427;3.7322717093804427
68;2.5250257337138775;1.384895064487712;2.488181139586962;2.488181139586962
69;3.155986439996363;1.260866132553402;3.1102264244837023;3.1102264244837023
70;3.2381927280805844;1.432987359040209;3.7322717093804427;3.7322717093804427
71;2.43136167013922;1.1123043614466095;1.244090569793481;2.488181139586962
72;2.892210868948008;1.424925895808019;4.354316994277183;4.354316994277183
73;2.4371757670290393;1.4229841745773886;2.488181139586962;3.1102264244837023
74;2.5622090736410583;1.2890370309657955;1.8661358546902214;1.8661358546902214
75;2.89803195408139;1.2445192901327389;3.7322717093804427;3.7322717093804427
76;2.680825877172051;1.5096692455792402;3.7322717093804427;3.7322717093804427
77;3.591882717981189;1.9742274764944363;1.244090569793481;0.0
78;2.580573926526786;1.3433490341591425;3.1102264244837023;0.0
79;2.7797422037480253;1.2541604999623783;5.598407564070665;0.0
80;2.9745111977807257;1.7360578696071112;3.1102264244837023;0.0
81;2.314178042894687;1.0456106563102197;0.0;0.0
82;2.4142845979849388;1.082859403882861;0.0;0.0
83;3.1060101467249437;1.2364170794800948;0.0;0.0
84;2.9352651538795818;1.7053772642414442;0.0;0.0
85;3.1369508033173177;1.1713437783821563;0.0;0.0
86;3.244918023356488;1.576935311460747;0.0;0.0
87;2.900787231609432;1.387897435725834;0.0;0.0
88;2.3535364900967277;0.9582344810699271;0.0;0.0
89;2.631811926029766;1.2535508166114526;0.0;0.0
90;2.8758286778352438;1.293687174893276;0.0;0.0
