day;mean;standard_deviation;dematerialized_deaths_2020;total_deaths_2020
61;3.7187400952670506;2.1329649550290295;1.1062314014845624;1.1062314014845624
62;3.096766529630084;2.264777898833606;1.1062314014845624;1.1062314014845624
63;3.0709385600408567;1.6710396990129355;3.3186942044536876;3.8718099051959687
64;2.8370883041425796;1.470896201636964;3.8718099051959687;4.42492560593825
65;3.21011256312819;1.9268350323449797;2.7655785037114065;3.3186942044536876
66;2.8200764244280405;1.4954982999597919;4.42492560593825;4.42492560593825
67;2.8039907923675385;2.740182974697508;2.7655785037114065;2.7655785037114065
68;2.7132680896386945;1.4244139571868146;2.7655785037114065;3.3186942044536876
69;3.263227766091594;1.6892012571571677;1.1062314014845624;1.1062314014845624
70;2.739106183142304;1.6259954617889316;3.3186942044536876;3.8718099051959687
71;2.713838049378304;1.2468854222948689;1.6593471022268438;1.6593471022268438
72;2.638887606331105;1.347823680210352;1.1062314014845624;2.212462802969125
73;3.548078476811359;1.4703123373131168;3.8718099051959687;3.8718099051959687
74;2.50755279068959;1.066063944409096;1.1062314014845624;1.1062314014845624
75;2.446091966245849;1.292997095880713;1.6593471022268438;1.6593471022268438
76;2.7267717898150883;0.8009918270865501;2.7655785037114065;2.7655785037114065
77;3.182250054634617;1.8544554364529782;1.6593471022268438;0.0
78;2.810525351701048;1.4157366803037807;1.6593471022268438;0.0
79;2.954366063563875;1.2805698849107456;1.1062314014845624;0.0
80;3.4318141727237967;1.6762586558000776;1.1062314014845624;0.0
81;2.4166715827666687;1.0919426870214781;0.0;0.0
82;2.35077059221055;1.06192615648038;0.0;0.0
83;2.8028093775807017;2.3813710642595822;0.0;0.0
84;2.2405376363679643;1.305865443317568;0.0;0.0
85;2.8190678983990805;1.2020272021704967;0.0;0.0
86;2.500422271712974;1.0698050824503693;0.0;0.0
87;3.218996215666462;1.4246079993503875;0.0;0.0
88;2.7638402036174696;1.6027137420022555;0.0;0.0
89;2.791350823489669;1.3487063879369223;0.0;0.0
90;2.3098796584455514;1.2968887234075293;0.0;0.0
